Player,Age,2023-24,2024-25,2025-26,2026-27,2027-28,2028-29,Guaranteed
Stephen Curry,35,$51915615,$55761216,$59606817,,,,$167283648
Klay Thompson,33,$43219440,,,,,,$43219440
Chris Paul,38,$30800000,$30000000,,,,,$15800000
Andrew Wiggins,28,$24330357,$26276786,$28223215,$30169644,,,$78830358
Draymond Green,33,$22321429,$24107143,$25892857,$27678571,,,$100000000
Gary Payton II,31,$8715000,$9130000,,,,,$8715000
Kevon Looney,27,$7500000,$8000000,,,,,$15500000
Jonathan Kuminga,21,$6012840,$7636307,,,,,$13649147
Moses Moody,21,$3918480,$5803269,,,,,$9721749
Brandin Podziemski,20,$3352440,$3519960,$3687960,$5679459,,,$6872400
Cory Joseph,32,$2019706,,,,,,$2019706
Dario Šarić,29,$2019706,,,,,,$2019706
Trayce Jackson-Davis,23,$1119563,$1891857,$2221677,$2406205,,,$3011420
Gui Santos,21,$1029483,$1891857,$2221677,,,,$75000
Lester Quinones,23,,,,,,,
Jerome Robinson,26,,,,,,,
Usman Garuba,21,,,,,,,
