,,Salary,Salary,Salary,Salary,Salary,Salary,
Player,Age,2023-24,2024-25,2025-26,2026-27,2027-28,2028-29,Guaranteed
Shai Gilgeous-Alexander,25,$33386850,$35859950,$38333050,$40806150,,,$148386000
Dāvis Bertāns,31,$17000000,$16000000,,,,,$28000000
Luguentz Dort,24,$15277778,$16500000,$17722222,$17722222,,,$49500000
Chet Holmgren,21,$10386000,$10880640,$13731368,,,,$21266640
Vasilije Micić,30,$7723000,$7723000,$8109150,,,,$23555150
Josh Giddey,21,$6587040,$8352367,,,,,$14939407
Kenrich Williams,29,$6175000,$6669000,$7163000,$7163000,,,$20007000
Cason Wallace,20,$5291400,$5555880,$5820240,$7420806,,,$10847280
Aleksej Pokusevski,22,$5009633,,,,,,$5009633
Ousmane Dieng,20,$4798440,$5027040,$6670882,,,,$9825480
Jalen Williams,22,$4558680,$4775760,$6580997,,,,$9334440
Tre Mann,22,$3191400,$4908373,,,,,$8099773
Jaylin Williams,21,$2000000,$2019699,$2187451,,,,$2000000
Isaiah Joe,24,$1997238,$2164993,,,,,
Aaron Wiggins,25,$1836096,$1988598,,,,,
Keyontae Johnson,23,,,,,,,
Olivier Sarr,24,,,,,,,
Lindy Waters III,26,,,,,,,
Kevin Porter Jr.,23,$15860000,$1000000,,,,,$16860000
Usman Garuba,21,$2588400,,,,,,$2588400
TyTy Washington Jr.,22,$2320440,,,,,,$2320440
Jack White,26,$600000,,,,,,$600000
