Player,Age,2023-24,2024-25,2025-26,2026-27,2027-28,2028-29,Guaranteed
Paul George,33,$45640084,$48787676,,,,,$45640084
Kawhi Leonard,32,$45640084,,,,,,$45640084
James Harden,34,$35640000,,,,,,$35640000
Norman Powell,30,$18000000,$19241379,$20482758,,,,$57724137
P.J. Tucker,38,$11014500,$11539000,,,,,$11014500
Ivica Zubac,26,$10933333,$11743210,,,,,$22676543
Terance Mann,27,$10576923,$11423077,,,,,$22000000
Mason Plumlee,33,$5000000,,,,,,$5000000
Russell Westbrook,35,$3835738,$4027525,,,,,$7863263
Amir Coffey,26,$3666667,$3938271,,,,,$7604938
Kobe Brown,24,$2413320,$2533920,$2654880,$4792059,,,$4947240
Bones Hyland,23,$2306400,$4158439,,,,,$6464839
Brandon Boston Jr.,22,$1836096,,,,,,$1836096
Joshua Primo,21,$1764341,$2196970,,,,,$1764341
Daniel Theis,31,$1741126,,,,,,$1741126
Xavier Moon,29,,,,,,,
Jordan Miller,24,,,,,,,
Moussa Diabaté,22,,,,,,,
