No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
7,Reggie Jackson,PG,6-2,208,April 16 1990,it,12,Boston College
0,Christian Braun,SG,6-6,218,April 17 2001,us,1,Kansas
1,Michael Porter Jr.,SF,6-10,218,June 29 1998,us,4,Missouri
15,Nikola Jokić,C,6-11,284,February 19 1995,rs,8,
8,Peyton Watson,SF,6-8,200,September 11 2002,us,1,UCLA
5,Kentavious Caldwell-Pope,SG,6-5,204,February 18 1993,us,10,Georgia
50,Aaron Gordon,PF,6-8,235,September 16 1995,us,9,Arizona
27,Jamal Murray,PG,6-4,215,February 23 1997,ca,6,Kentucky
22,Zeke Nnaji,PF,6-9,240,January 9 2001,us,3,Arizona
3,Julian Strawther,SF,6-7,205,April 18 2002,us,R,Gonzaga
9,Justin Holiday,SG,6-6,180,April 5 1989,us,10,Washington
6,DeAndre Jordan,C,6-11,265,July 21 1988,us,15,Texas A&M
21,Collin Gillespie  (TW),PG,6-1,195,June 25 1999,us,R,Villanova
24,Jalen Pickett,SG,6-4,209,October 22 1999,us,R,Siena College Penn State
11,Braxton Key  (TW),SF,6-8,230,February 14 1997,us,2,Alabama Virginia
4,Hunter Tyson,PF,6-8,215,June 13 2000,us,R,Clemson
30,Jay Huff  (TW),C,7-1,240,August 25 1998,us,2,Virginia
,Vlatko Čančar,PF,6-8,236,April 10 1997,si,4
